timestamp,app_name
2025-08-28T22:31:40.272947,Code.exe
2025-08-28T22:40:05.341360,explorer.exe
2025-08-28T22:40:10.342544,ApplicationFrameHost.exe
2025-08-28T22:40:15.343367,chrome.exe
2025-08-28T22:44:55.391742,SnippingTool.exe
2025-08-28T22:45:00.392656,ApplicationFrameHost.exe
2025-08-28T22:45:10.394552,chrome.exe
2025-08-28T22:46:55.409646,SnippingTool.exe
2025-08-28T22:47:00.410442,ApplicationFrameHost.exe
2025-08-28T22:47:10.411927,chrome.exe
2025-08-28T22:49:05.429016,SnippingTool.exe
2025-08-28T22:49:15.430509,explorer.exe
2025-08-28T22:49:20.431282,chrome.exe
2025-08-28T22:55:35.478028,SnippingTool.exe
2025-08-28T22:55:40.478757,chrome.exe
2025-08-28T23:05:35.556301,explorer.exe
2025-08-28T23:05:45.559333,chrome.exe
2025-08-28T23:06:50.566935,explorer.exe
2025-08-28T23:07:45.574605,Code.exe
2025-08-28T23:09:20.586840,chrome.exe
2025-08-28T23:09:25.587674,explorer.exe
2025-08-28T23:09:30.588599,ShellHost.exe
2025-08-28T23:09:35.589888,explorer.exe
2025-08-28T23:10:05.594210,chrome.exe
2025-08-28T23:10:55.649324,Taskmgr.exe
2025-08-28T23:11:20.653522,chrome.exe
2025-08-28T23:11:35.655703,explorer.exe
2025-08-28T23:11:40.656326,Code.exe
2025-08-28T23:11:45.656735,explorer.exe
2025-08-28T23:11:55.657982,chrome.exe
2025-08-28T23:12:00.659102,explorer.exe
2025-08-28T23:12:05.659823,Code.exe
2025-08-28T23:12:10.660432,chrome.exe
2025-08-28T23:12:25.662433,explorer.exe
2025-08-28T23:12:30.663367,chrome.exe
2025-08-28T23:13:00.666943,Taskmgr.exe
